
College_Name,State
Netaji Subhas University of Technology,Delhi ncr
Shiv Nadar University,Delhi ncr
Manav Rachna International Institute of Research and,Delhi ncr
National Institute of Technology,Delhi ncr
"Gurugram University, Gurgaon ",Delhi ncr
Chhotu Ram Rural Institute Of Technology,Delhi ncr
SunRise University,Delhi ncr
"Monad University, Hapur ",Delhi ncr
"Amity University, Gurgaon ",Delhi ncr
"Shobhit University, Meerut ",Delhi ncr
Indraprastha Institute of Technology and Management,Delhi ncr
Maharaja Agrasen Institute of Technology,Delhi ncr
Maharaja Surajmal Institute of Technology,Delhi ncr
Noida Institute of Engineering and Technology,Delhi ncr
K L University,Andhra pradesh
"Andhra University, College of Engineering ",Andhra pradesh
"Sri Venkateswara University College of Engineering, Tirupati ",Andhra pradesh
"Vignan's Foundation for Science, Technology, and Research, ",Andhra pradesh
"JNTUK University College of Engineering, Kakinada, East ",Andhra pradesh
Sree Vidyanikethan Engineering College,Andhra pradesh
G. Pulla Reddy Engineering College,Andhra pradesh
Sri Venkateswara College of Engineering and Technology,Andhra pradesh
Velagapudi Ramakrishna Siddhartha Engineering College,Andhra pradesh
Shri Vishnu Engineering College for Women,Andhra pradesh
"JNTUA College of Engineering, Ananthapur ",Andhra pradesh
Sagi Ramakrishnam Raju Engineering College,Andhra pradesh
Gayatri Vidya Parishad College of Engineering,Andhra pradesh
Jawaharlal Nehru Technological University,Andhra pradesh
Indian Institute of Technology,Andhra pradesh
Prasad V. Potluri Siddhartha Institute of Technology,Andhra pradesh
Centurion University of Technology and Management,Andhra pradesh
Aditya Engineering College,Andhra pradesh
Bapatla Engineering College,Andhra pradesh
Gudlavalleru Engineering College,Andhra pradesh
Sri Venkateswara College of Engineering,Andhra pradesh
Sri Vasavi Engineering College,Andhra pradesh
Indian Institute of Information Technology Sri City,Andhra pradesh
National Institute of Technology,Andhra pradesh
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Andhra pradesh
Raghu Engineering College,Andhra pradesh
Indian Institute of Information Technology Design and,Andhra pradesh
Rajeev Gandhi Memorial College of Engineering and,Andhra pradesh
VIT University,Andhra pradesh
National Institute of Technology,Karnataka
Manipal Institute of Technology,Karnataka
R V College of Engineering,Karnataka
Ramaiah Institute of Technology,Karnataka
International Institute of Information Technology,Karnataka
BMS College of Engineering,Karnataka
Siddaganga Institute of Technology,Karnataka
New Horizon College of Engineering,Karnataka
"Faculty of Engineering and Technology, Jain University ",Karnataka
Sri Jayachamarajendra College of Engineering,Karnataka
Dayananda Sagar College of Engineering,Karnataka
NMAM Institute of Technology,Karnataka
Nitte Meenakshi Institute of Technology,Karnataka
PES University,Karnataka
BMS Institute of Technology and Management,Karnataka
"KLE Technological University, Hubli ",Karnataka
Dr. Ambedkar Institute of Technology,Karnataka
PES College of Engineering,Karnataka
CMR Institute of Technology,Karnataka
The National Institute of Engineering,Karnataka
"Alliance College of Engineering and Design, Bangalore ",Karnataka
Basaveshwar Engineering College,Karnataka
"Christ University, Bangalore ",Karnataka
Manipal Academy of Higher Education,Karnataka
Indian Institute of Science,Karnataka
"REVA University, Bangalore ",Karnataka
"Alliance University, Bangalore ",Karnataka
"Presidency University, Bangalore ",Karnataka
Indian Institute of Technology,Telangana
National Institute of Technology,Telangana
International Institute of Information Technology,Telangana
Jawaharlal Nehru Technological University,Telangana
"University College of Engineering, Osmania University ",Telangana
Chaitanya Bharathi Institute of Technology,Telangana
Vallurupalli Nageswara Rao Vignana Jyothi Institute of,Telangana
"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",Telangana
Institute of Aeronautical Engineering,Telangana
BV Raju Institute of Technology,Telangana
Vardhaman College of Engineering,Telangana
"Anurag University, Hyderabad ",Telangana
Vasavi College of Engineering,Telangana
Gokaraju Rangaraju Institute of Engineering and Technology,Telangana
Kakatiya Institute of Technology & Science,Telangana
K L University,Telangana
Birla Institute of Technology and Science,Telangana
Mahatma Gandhi Institute of Technology,Telangana
Malla Reddy Engineering College,Telangana
Malla Reddy College of Engineering,Telangana
Indian Institute of Chemical Technology,Telangana
Sreenidhi Institute of Science and Technology,Telangana
"Mahindra University, Hyderabad ",Telangana
"St Martin's Engineering College, Secunderabad ",Telangana
MLR Institute of Technology,Telangana
Keshav Memorial Institute of Technology,Telangana
Vaagdevi College of Engineering,Telangana
CMR Engineering College,Telangana
"Matrusri Engineering College, Hyderabad ",Telangana
Indian Institute of Technology,Madhya pradesh
Maulana Azad National Institute of Technology,Madhya pradesh
Indian Institute of Information Technology Design and,Madhya pradesh
Atal Bihari Vajpayee Indian Institute of Information,Madhya pradesh
"VIT Bhopal University, Bhopal ",Madhya pradesh
"RKDF University, Bhopal ",Madhya pradesh
Awadhesh Pratap Singh University,Madhya pradesh
"University Institute of Technology, Rajiv Gandhi Proudyogiki ",Madhya pradesh
Institute of Information Technology & Management,Madhya pradesh
"Institute of Engineering and Technology, Devi Ahilya ",Madhya pradesh
Acropolis Institute of Technology & Research,Madhya pradesh
"Indian Institute of Information Technology -[IIIT], Bhopal ",Madhya pradesh
Jaypee University of Engineering and Technology,Madhya pradesh
Oriental University,Madhya pradesh
"Amity University, Gwalior ",Madhya pradesh
AKS University,Madhya pradesh
Jagran Lakecity University,Madhya pradesh
Jabalpur Engineering College,Madhya pradesh
"Swami Vivekanand University, Sagar ",Madhya pradesh
"Acropolis Group of Institutions, Indore ",Madhya pradesh
LNCT University,Madhya pradesh
"Avantika University, Ujjain ",Madhya pradesh
Ujjain Engineering College,Madhya pradesh
Shri Govindram Seksaria Institute of Technology and,Madhya pradesh
Lakshmi Narain College of Technology,Madhya pradesh
National Institute of Technology,Kerala
Indian Institute of Space Science and Technology,Kerala
"College of Engineering, Trivandrum ",Kerala
"Cochin University of Science and Technology, School ",Kerala
Baselios Thomas I Catholicose College of Engineering,Kerala
Cochin University of Science and Technology,Kerala
Indian Institute of Technology,Kerala
APJ Abdul Kalam Technological University,Kerala
Federal Institute of Science and Technology,Kerala
"Indian Institute of Information Technology [IIIT], Kottayam ",Kerala
Government Engineering College,Kerala
National Institute of Electronics & Information Technology,Kerala
TKM College of Engineering,Kerala
Amal Jyothi College of Engineering,Kerala
Hindustan College of Engineering,Kerala
Marian Engineering College,Kerala
"Saintgits College of Engineering, Kottayam ",Kerala
Rajiv Gandhi Institute of Technology,Kerala
Mangalam College of Engineering Ettumanoor,Kerala
NSS College of Engineering,Kerala
Sree Chitra Thirunal College of Engineering,Kerala
"Thejus Engineering College, Thrissur ",Kerala
Mar Athanasius College of Engineering,Kerala
St. Thomas College of Engineering and Technology-,Kerala
"College of Engineering Thalassery, Kannur ",Kerala
"KMCT College of Engineering, Kozhikode ",Kerala
"MEA Engineering College- [MEAEC], Malappuram ",Kerala
Rajagiri School of Engineering & Technology,Kerala
Sahrdaya College of Engineering,Kerala
"Trinity College of Engineering, Trivendrum ",Kerala
Birla Institute of Technology and Science,Rajasthan
Indian Institute of Technology,Rajasthan
Malaviya National Institute of Technology,Rajasthan
"Singhania University, Jhunjhunu ",Rajasthan
Jaipur National University,Rajasthan
Manipal University,Rajasthan
JECRC University,Rajasthan
SunRise University,Rajasthan
"OPJS University, Churu ",Rajasthan
"Banasthali Vidyapith, Jaipur ",Rajasthan
"Amity University, Jaipur ",Rajasthan
Suresh Gyan Vihar University,Rajasthan
IIS (Deemed to be University),Rajasthan
Madhav University,Rajasthan
"Jagannath University, Jaipur ",Rajasthan
Indian Institute of Information Technology,Rajasthan
"Tantia University, Sriganganagar ",Rajasthan
"Pacific University, Udaipur ",Rajasthan
"Swami Keshvanand Institute of Technology, Management and ",Rajasthan
Maharana Pratap University of Agriculture and Technology,Rajasthan
"Poornima College of Engineering, Jaipur ",Rajasthan
"Shridhar University, Pilani ",Rajasthan
"Jaipur Engineering College and Research Centre, Jaipur ",Rajasthan
Birla Institute of Technology,Rajasthan
Institute of Advanced Studies in Education,Rajasthan
National Institute of Technology,Haryana
Panjab University,Haryana
Punjab Engineering College University of Technology,Haryana
National Institute of Food Technology Entrepreneurship and,Haryana
"University Institute of Engineering, Chandigarh University ",Haryana
"School of Engineering and Technology, NCU ",Haryana
"J.C. Bose University Of Science And Technology, ",Haryana
Manav Rachna International Institute Of Research And,Haryana
Manav Rachna International Institute of Research and,Haryana
"Gurugram University, Gurgaon ",Haryana
"PDM University, Bahadurgarh, Bahadurgarh ",Haryana
"Amity University, Gurgaon ",Haryana
National Institute of Technical Teachers Training and,Haryana
"IILM University, Gurgaon ",Haryana
"University Institute of Engineering and Technology -[UIET], ",Haryana
"Starex University, Gurgaon ",Haryana
Indian Institute of Information Technology,Haryana
"SRM University Delhi NCR, Sonepat ",Haryana
"Lingaya's Vidyapeeth, Faridabad ",Haryana
Modern Vidya Niketan,Haryana
Delhi Technical Campus,Haryana
Chandigarh College of Engineering and Technology,Haryana
Manav Rachna University,Haryana
Seth Jai Parkash Mukand Lal Institute of,Haryana
"Sushant University / Ansal University, Gurgaon ",Haryana
"University Institute of Engineering and Technology, Maharshi ",Haryana
St. Andrews Institute of Technology and Management,Haryana
Indian Institute of Technology,Gujarat
Sardar Vallabhbhai National Institute of Technology,Gujarat
Dhirubhai Ambani Institute of Information and Communication,Gujarat
"Institute of Technology, Nirma University, Ahmedabad ",Gujarat
"Faculty of Technology and Engineering, Maharaja Sayajirao ",Gujarat
Nirma University,Gujarat
Pandit Deendayal Petroleum University [PDPU] / (Energy,Gujarat
"Pandit Deendayal Petroleum University, School of Technology ",Gujarat
Central Institute of plastics engineering & Technology-,Gujarat
Sardar Patel University,Gujarat
"CEPT University, Ahmedabad ",Gujarat
Ganpat University,Gujarat
"Indus University, Ahmedabad ",Gujarat
Navrachana University,Gujarat
Indian Institute of Information Technology Vadodara,Gujarat
"Uka Tarsadia University, Bardoli ",Gujarat
"GSFC University, Vadodara ",Gujarat
"Auro University, Surat ",Gujarat
L.D. College of Engineering,Gujarat
RK University,Gujarat
Institute of Infrastructure Technology Research and Management,Gujarat
Indian Institute of Information Technology,Gujarat
"C. U. Shah University, Wadhwan ",Gujarat
"P.P. Savani University, Surat ",Gujarat
Vishwakarma Government Engineering College,Gujarat
Dharmsinh Desai University,Gujarat
Thapar Institute of Engineering and Technology,Punjab
Indian Institute of Technology,Punjab
Panjab University,Punjab
Punjab Engineering College University of Technology,Punjab
I.K. Gujral Punjab Technical University,Punjab
Dr BR Ambedkar National Institute of Technology,Punjab
"University Institute of Engineering, Chandigarh University ",Punjab
Sant Longowal Institute of Engineering and Technology,Punjab
Chitkara University,Punjab
Chandigarh Group of Colleges,Punjab
"RIMT University, Gobindgarh ",Punjab
National Institute of Technical Teachers Training and,Punjab
"Guru Kashi University, Bathinda ",Punjab
"University Institute of Engineering and Technology -[UIET], ",Punjab
"Rayat Bahra University, Mohali ",Punjab
"DAV University, Jalandhar ",Punjab
"Plaksha, Mohali ",Punjab
Chandigarh Engineering College,Punjab
Sant Baba Bhag Singh University,Punjab
Chandigarh College of Engineering and Technology,Punjab
"Global Institute, Amritsar ",Punjab
"Maharaja Ranjit Singh Punjab Technical University, Bathinda ",Punjab
Amritsar College of Engineering and Technology,Punjab
Guru Nanak Dev Engineering College,Punjab
Sri Guru Granth Sahib World University,Punjab
Baba Banda Singh Bahadur Engineering College,Punjab
Indian Institute of Technology,West bengal
Jadavpur University,West bengal
Indian Institute of Engineering Science and Technology,West bengal
National Institute of Technology,West bengal
Institute of Engineering and Management,West bengal
Heritage Institute of Technology,West bengal
Maulana Abul Kalam Azad University of Technology,West bengal
Narula Institute of Technology,West bengal
Haldia Institute of Technology,West bengal
"Amity University, Kolkata ",West bengal
"Techno India University, Kolkata ",West bengal
"Adamas University, Kolkata ",West bengal
Sister Nivedita University,West bengal
Asansol Engineering College,West bengal
University of Engineering and Management,West bengal
JIS College of Engineering,West bengal
Kalyani Government Engineering College,West bengal
Indian Institute of Information Technology,West bengal
The Neotia University,West bengal
Bengal Institute of Technology,West bengal
Siliguri Institute of Technology,West bengal
"University Institute of Technology, University Of Burdwan ",West bengal
Jalpaiguri Government Engineering College,West bengal
"Techno India Salt Lake, Kolkata ",West bengal
Bengal College of Engineering and Technology,West bengal
Dr. B.C. Roy Engineering College,West bengal
Bengal College of Engineering,West bengal
Seacom Skills University,West bengal
National Institute of Technology,Orissa
Indian Institute of Technology,Orissa
Institute of Technical Education and Research,Orissa
"C. V. Raman Global University, Bhubaneswar ",Orissa
Veer Surendra Sai University of Technology,Orissa
Biju Patnaik University of Technology,Orissa
Centurion University of Technology and Management,Orissa
International Institute of Information Technology,Orissa
"Indira Gandhi Institute of Technology- [IGIT], Dhenkanal ",Orissa
Silicon Institute of Technology,Orissa
Silicon Institute of Technology,Orissa
Xavier University,Orissa
Bhubaneswar Engineering College,Orissa
College of Engineering,Orissa
National Institute of Science and Technology,Orissa
College of Engineering and Technology,Orissa
Gandhi Institute for Technology,Orissa
Orissa Engineering College,Orissa
Parala Maharaja Engineering College,Orissa
"CSIR-Institute of Minerals and Materials Technology -[CSIR-IMMT], ",Orissa
GITA Autonomous College,Orissa
"Seemanta Engineering College, Mayurbhanj ",Orissa
"Trident Academy of Technology, Bhubaneswar ",Orissa
"Government College of Engineering, Kendujhar ",Orissa
CIPET: Centre for Skilling and Technical Support,Orissa
"Vignan Institute of Technology And Management, Berhampur ",Orissa
Krupajal Engineering College,Orissa
Indian Institute of Technology,Uttarakhand
"Graphic Era University, School of Engineering and ",Uttarakhand
"College of Technology, GB Pant University of ",Uttarakhand
University of Petroleum and Energy Studies,Uttarakhand
"Doon University, Dehradun ",Uttarakhand
DIT University,Uttarakhand
Graphic Era University,Uttarakhand
Graphic Era Hill University,Uttarakhand
"ICFAI University, Dehradun ",Uttarakhand
"MotherHood University, Roorkee ",Uttarakhand
Himgiri Zee University,Uttarakhand
Swami Rama Himalayan University,Uttarakhand
"Tula's Institute, Dehradun ",Uttarakhand
THDC Institute of Hydro Power Engineering and,Uttarakhand
College of Engineering,Uttarakhand
Shivalik College of Engineering,Uttarakhand
Women Institute of Technology,Uttarakhand
Indian Institute of Aeronautical Engineering,Uttarakhand
Indira Gandhi National Forest Academy,Uttarakhand
"Bipin Tripathi Kumaon Institute of Technology, Almora ",Uttarakhand
Govind Ballabh Pant Engineering College,Uttarakhand
BFIT Group of Institutions,Uttarakhand
Dev Bhoomi Institute of Technology,Uttarakhand
Graphic Era Hill University Bhimtal Campus,Uttarakhand
Indian Institute of Technology,Assam
National Institute of Technology,Assam
Indian Institute of Information Technology,Assam
Central Institute of Technology,Assam
Assam Don Bosco University,Assam
Assam Engineering College,Assam
Jorhat Engineering College,Assam
Assam Science and Technology University,Assam
Assam Down Town University,Assam
"Girijananda Chowdhury Institute of Management & Technology, ",Assam
Assam Engineering Institute,Assam
"Bineswar Brahma Engineering College- [BBEC], Kokrajhar ",Assam
Jorhat Institute of Science and Technology,Assam
NETES Institute of Technology and Science,Assam
Don Bosco College of Engineering and Technology,Assam
"Tezpur University, School of Engineering Tezpur, Sonitpur ",Assam
Barak Valley Engineering College,Assam
Assam Institute of Technology,Assam
Royal Global University,Assam
Royal School of Engineering and Technology,Assam
Scholar's Institute of Technology and Management,Assam
"Dibrugarh University, Dibrugarh ",Assam
Tezpur University,Assam
"B. Borooah College, Guwahati ",Assam
Gauhati University,Assam
"Pragjyotish College, Guwahati ",Assam
"Duliajan College, Dibrugarh ",Assam
"Assam University, Silchar ",Assam
Kaziranga University,Assam
Dibrugarh Polytechnic,Assam
Indian Institute of Technology,Bihar
National Institute of Technology,Bihar
"Sandip University, Madhuban ",Bihar
Government Engineering College,Bihar
"Amity University, Patna ",Bihar
Aryabhatta Knowledge University,Bihar
Bhagalpur College of Engineering,Bihar
Birla Institute of Technology,Bihar
"Gaya College of Engineering, Gaya ",Bihar
Netaji Subhas Institute of Technology,Bihar
Muzaffarpur Institute of Technology,Bihar
Nalanda College of Engineering,Bihar
Bakhtiyarpur College of Engineering,Bihar
Darbhanga College of Engineering,Bihar
Motihari College of Engineering,Bihar
Central Institute of Plastics Engineering and Technology,Bihar
Loknayak Jai Prakash Institute Of Technology,Bihar
Purnea College of Engineering,Bihar
Katihar Engineering College,Bihar
Saharsa College of Engineering,Bihar
Supaul College of Engineering,Bihar
Millia Institute of Technology,Bihar
"Sityog Institute of Technology, Aurangabad ",Bihar
Vidya Vihar Institute of Technology,Bihar
Shershah College of Engineering,Bihar
"RP Sharma Institute of Technology, Patna ",Bihar
Sitamarhi Institute of Technology,Bihar
Government Engineering College,Bihar
Maulana Azad College of Engineering and Technology,Bihar
Rashtrakavi Ramdhari Singh Dinkar College of Engineering,Bihar
National Institute of Technology,Chhattisgarh
Indian Institute of Technology,Chhattisgarh
"Amity University, Raipur ",Chhattisgarh
International Institute of Information Technology,Chhattisgarh
"ITM University, Raipur ",Chhattisgarh
Bhilai Institute of Technology,Chhattisgarh
Bhilai Institute of Technology,Chhattisgarh
"Govt Engineering College, Bilaspur ",Chhattisgarh
OP Jindal University,Chhattisgarh
Lakhmi Chand Institute of Technology,Chhattisgarh
"ICFAI University, Raipur ",Chhattisgarh
Raipur Institute of Technology,Chhattisgarh
Shri Shankaracharya Institute of Professional Management and,Chhattisgarh
Chhatrapati Shivaji Institute of Technology,Chhattisgarh
Shri Rawatpura Sarkar University,Chhattisgarh
Government Engineering College,Chhattisgarh
Columbia Institute of Engineering and Technology,Chhattisgarh
AAFT University of Media and Arts,Chhattisgarh
Chouksey Engineering College,Chhattisgarh
Christian College of Engineering and Technology,Chhattisgarh
Chhattisgarh Engineering College,Chhattisgarh
Disha Institute of Management and Technology,Chhattisgarh
Rungta College of Engineering and Technology,Chhattisgarh
"Kirodimal Institute of Technology, Raigarh ",Chhattisgarh
Krishna Engineering College,Chhattisgarh
RSR Rungta College of Engineering and Technology,Chhattisgarh
Shri Shankaracharya Group of Institutions,Chhattisgarh
Indian Institute of Technology,Jharkhand
Birla Institute of Technology,Jharkhand
National Institute of Technology,Jharkhand
Birsa Institute of Technology,Jharkhand
"RKDF University, Ranchi ",Jharkhand
YBN University,Jharkhand
Indian Institute of Information Technology,Jharkhand
"Sai Nath University, Ranchi ",Jharkhand
National Institute of Foundry & Forge Technology,Jharkhand
"Arka Jain University, Jamshedpur ",Jharkhand
"Amity University, Ranchi ",Jharkhand
Jharkhand Rai University,Jharkhand
Netaji Subhas University,Jharkhand
Radha Govind University,Jharkhand
Cambridge Institute of Technology,Jharkhand
Sarala Birla University,Jharkhand
Birla Institute of Technology Extension Centre,Jharkhand
"Chaibasa Engineering College, Techno India Group, Chaibasa ",Jharkhand
Ramgarh Engineering College,Jharkhand
Capital University,Jharkhand
RTC Institute of Technology,Jharkhand
"University College of Engineering and Technology, Vinoba ",Jharkhand
RVS College of Engineering and Technology,Jharkhand
"KK College of Engineering and Management, Dhanbad ",Jharkhand
"Ramgovind Institute of Technology, Kodarma ",Jharkhand
Nilai Institute of Technology,Jharkhand
"Maryland Institute of Technology And Management, Jamshedpur ",Jharkhand
Ramchandra Chandarvansi Institute of Technology,Jharkhand
Vidya Memorial Institute of Technology,Jharkhand
Indian Institute of Technology,Himachal pradesh
National Institute of Technology,Himachal pradesh
Jaypee University of Information Technology,Himachal pradesh
Indian Institute of Information Technology,Himachal pradesh
Baddi University of Emerging Sciences and Technologies,Himachal pradesh
Maharishi Markandeshwar,Himachal pradesh
"Arni University, Kangra ",Himachal pradesh
Bahra University,Himachal pradesh
Eternal University,Himachal pradesh
Abhilashi University,Himachal pradesh
IEC University Baddi,Himachal pradesh
"University Institute of Information Technology, Himachal Pradesh ",Himachal pradesh
Career Point University,Himachal pradesh
Sri Sai University,Himachal pradesh
"Green Hills Engineering College, Solan ",Himachal pradesh
"Rajiv Gandhi govt. Engineering college -[RGGEC], Kangra ",Himachal pradesh
Indus International University,Himachal pradesh
Jawaharlal Nehru Government Engineering College,Himachal pradesh
Maharaja Agrasen University,Himachal pradesh
"ICFAI University, Baddi ",Himachal pradesh
Himachal Institute of Engineering and Technology,Himachal pradesh
"LR Institute of Engineering and Technology, Solan ",Himachal pradesh
"Himalayan Group of Professional Institutions, Sirmaur ",Himachal pradesh
Manav Bharti University,Himachal pradesh
"Chitkara University, Solan ",Himachal pradesh
"Bells Institute of Management & Technology, Shimla ",Himachal pradesh
"Shiva Group of Institutions, Bilaspur ",Himachal pradesh
Mahatma Gandhi Government Engineering College,Himachal pradesh
Shri Mata Vaishno Devi University,Jammu
National Institute of Technology,Jammu
Indian Institute of Technology,Jammu
Government College of Engineering and Technology,Jammu
Islamic University of Science and Technology,Jammu
SSM College of Engineering and Technology,Jammu
"Yogananda College of Engineering & Technology -[YCET], ",Jammu
"MBS College of Engineering and Technology, Jammu ",Jammu
Sher-e-Kashmir University of Agricultural Sciences and Technology,Jammu
"Government Degree College for Boys, Udhampur ",Jammu
Baba Ghulam Shah Badshah University,Jammu
"Central University of Jammu, Jammu ",Jammu
Central University of Kashmir,Jammu
University of Kashmir,Jammu
"Govt. Gandhi Memorial Science College, Jammu ",Jammu
Kashmir Government Polytechnic,Jammu
Cluster University of Srinagar,Jammu
Bhargava College of Engineering & Technology,Jammu
"Government Polytechnic College -[GPC], Anantnag ",Jammu
"Masterpro Institute of Technology, Srinagar ",Jammu
"Kite Polytechnic College, Budgam ",Jammu
"Government Polytechnic Kargil, Kargil ",Jammu
"Government Polytechnic College, Baramulla ",Jammu
Government Polytechnic College,Jammu
"Government Polytechnic For Women-[GPW], Jammu ",Jammu
"Government Polytechnic College, Bandipora ",Jammu
"Government Polytechnic, Kulgam ",Jammu
"Government Polytechnic College, Budgam ",Jammu
"Government Polytechnic College, Sopore ",Jammu
Panjab University,Chandigarh
Punjab Engineering College University of Technology,Chandigarh
"University Institute of Engineering, Chandigarh University ",Chandigarh
National Institute of Technical Teachers Training and,Chandigarh
"University Institute of Engineering and Technology -[UIET], ",Chandigarh
Chandigarh College of Engineering and Technology,Chandigarh
Apex Institute of Technology,Chandigarh
"IITT Institutions, Chandigarh ",Chandigarh
Dr. S. S. Bhatnagar University Institute of,Chandigarh
Swami Vivekanand Institute of Engineering & Technology,Chandigarh
"Gurukul Vidyapeeth, Chandigarh ",Chandigarh
"Morph Academy, Chandigarh ",Chandigarh
Indo Swiss Training Centre,Chandigarh
"Artex Informatic Solutions, Chandigarh ",Chandigarh
Swami Vivekanand Polytechnic College,Chandigarh
"PG Government College for Girls, Chandigarh ",Chandigarh
Government Industrial Training Institute,Chandigarh
Government Polytechnic for Women,Chandigarh
"Longowal Polytechnic College, Chandigarh ",Chandigarh
"Universal Polytechnic College, Chandigarh ",Chandigarh
Swami Vivekanand Industrial Training Centre,Chandigarh
Swami Vivekanand Group Of Institutes,Chandigarh
National Institute of Technology,Goa
Indian Institute of Technology,Goa
Birla Institute of Technology and Science,Goa
Goa College of Engineering,Goa
"Padre Conceicao College of Engineering, Salcete ",Goa
National Centre for Antarctic and Ocean Research,Goa
"Shree Rayeshwar Institute of Engineering and Information Technology, North Goa ",Goa
National Institute of Oceanography,Goa
"Goa University, North Goa ",Goa
International Institute of Hotel Management,Goa
"Government Polytechnic, Bicholim ",Goa
"Agnel Polytechnic, South Goa ",Goa
"Government Polytechnic, Curchorem ",Goa
